date,ratio
20180430,0.919399642
20180501,0.919399642
20180502,0.928136201
20180503,0.921684588
20180504,0.921684588
20180505,0.918996416
20180506,0.921300563
20180507,0.921300563
20180508,0.921300563
20180509,0.905171531
20180510,0.905171531
20180511,0.905171531
20180512,0.896210958
20180513,0.898227087
20180514,0.898227087
20180515,0.898227087
20180516,0.898227087
20180517,0.896883001
20180518,0.904947517
20180519,0.904051459
20180520,0.882546083
20180521,0.866417051
20180522,0.869642857
20180523,0.866954685
20180524,0.870538914
20180525,0.870538914
20180526,0.875915259
20180527,0.878987455
20180528,0.878987455
20180529,0.885259857
20180530,0.880421147
20180531,0.872356631
20180601,0.872356631
20180602,0.878405018
20180603,0.871415771
20180604,0.871415771
20180605,0.85797491
20180606,0.853942652
20180607,0.853942652
20180608,0.853942652
20180609,0.870071685
20180610,0.863015233
20180611,0.841509857
20180612,0.834341398
20180613,0.834341398
20180614,0.829861111
20180615,0.824484767
20180616,0.824484767
20180617,0.825828853
20180618,0.819108423
20180619,0.824484767
20180620,0.845990143
20180621,0.862119176
20180622,0.862119176
20180623,0.868839606
20180624,0.856742832
20180625,0.848678315
20180626,0.845452509
20180627,0.845452509
20180628,0.845452509
20180629,0.853517025
20180630,0.848140681
20180701,0.856205197
20180702,0.856205197
20180703,0.856205197
20180704,0.869646057
20180705,0.869646057
20180706,0.881832437
20180707,0.885864695
20180708,0.885864695
20180709,0.885864695
20180710,0.885864695
20180711,0.892921147
20180712,0.914426523
20180713,0.930555556
20180714,0.930555556
20180715,0.935035842
20180716,0.935035842
20180717,0.926971326
20180718,0.92374552
20180719,0.93046595
20180720,0.93046595
20180721,0.919713262
20180722,0.908960573
20180723,0.902508961
20180724,0.906541219
20180725,0.918637993
20180726,0.921326165
20180727,0.924551971
20180728,0.918100358
20180729,0.918100358
20180730,0.911648746
20180731,0.920250896
20180801,0.920250896
20180802,0.920250896
20180803,0.920250896
20180804,0.920250896
20180805,0.91218638
20180806,0.916129032
20180807,0.916129032
20180808,0.916129032
20180809,0.916129032
20180810,0.9
20180811,0.895967742
20180812,0.880483871
20180813,0.866370968
20180814,0.866370968
20180815,0.854274194
20180816,0.859650538
20180817,0.867715054
20180818,0.846747312
20180819,0.823629032
20180820,0.79405914
20180821,0.804811828
20180822,0.810188172
20180823,0.816639785
20180824,0.807231183
20180825,0.796478495
