name|dateReleased|duration|album|artist|composer|genre|playedCount|datePlayed|dateAdded|year|descriptionShort
Simple Lessons|Friday, February 26, 2016 at 02:00:00|262.760009765625|Thistle - EP|Manatee Commune|G. Eadie|IDM/Experimental|7|2018-01-07 07:35:28|2016-09-17 05:59:26|2016|
He Is Without His Guns|missing value|204.904006958008|Into The Light|Marisa Anderson||NPR Music's The Austin 100 (2017)|3|2018-01-07 09:05:12|2017-03-05 16:51:15|0|
VIII. Juliet|Monday, December 31, 2012 at 18:00:00|199.81300354003898|Late Night Tales: Bonobo|Matthew Bourne||Electronic|139|2018-01-07 16:27:48|2017-07-24 06:54:20|2013|
We Are Golden|Tuesday, September 22, 2009 at 02:00:00|238.095993041992|The Boy Who Knew Too Much|Mika|MIKA|Pop|30|2018-01-07 17:00:35|2016-02-14 09:21:44|2009|
Lollipop|Monday, February 5, 2007 at 02:00:00|183.533004760742|Life In Cartoon Motion|MIKA|MIKA|Pop|44|2018-01-07 16:05:16|2017-07-21 00:19:40|2007|
Eating Hooks|Friday, April 1, 2016 at 02:00:00|271.968994140625|III|Moderat||Electronic|220|2018-01-07 16:14:59|2016-10-07 20:06:51|2016|
Sunset Lover (Manatee Commune Remix)|Friday, June 16, 2017 at 02:00:00|202.513000488281|Sunset Lover Remixes - EP|Petit Biscuit|Mehdi Benjelloun|Electronic|92|2018-01-07 16:56:37|2017-08-09 18:36:59|2017|
Hang On Little Tomato|Tuesday, October 19, 2004 at 02:00:00|196.893005371094|Hang On Little Tomato|Pink Martini||Pop|240|2018-01-07 06:11:24|2016-02-14 09:21:45|2004|
Me and Us|Friday, June 11, 2010 at 02:00:00|361.726013183594|Antifogmatic|Punch Brothers||Singer/Songwriter|5|2018-01-07 09:11:14|2016-02-14 09:51:12|2010|
Passepied (Debussy)|Friday, January 23, 2015 at 02:00:00|209.600006103516|The Phosphorescent Blues|Punch Brothers||Singer/Songwriter|245|2018-01-07 17:08:34|2017-01-26 06:54:25|2015|
Cheap Thrills|Friday, January 29, 2016 at 02:00:00|211.66600036621102|This Is Acting|Sia|Sia Furler|Pop|126|2018-01-07 07:47:48|2016-05-30 14:41:02|2016|
Don't Mug Yourself|Monday, March 18, 2002 at 02:00:00|158.332992553711|Original Pirate Material|The Streets||Pop|37|2018-01-07 08:50:04|2016-02-14 09:21:45|2002|
Coffee|Tuesday, May 13, 2014 at 02:00:00|269.692993164062|Sylvan Esso|Sylvan Esso||Alternative|199|2018-01-07 17:05:05|2016-02-14 09:21:46|2014|
Song|Friday, April 28, 2017 at 02:00:00|207.360000610352|What Now|Sylvan Esso|Amelia Meath & Nick Sanborn|Alternative|11|2018-01-07 16:41:32|2017-07-24 06:54:22|2017|
Rose Quartz|Tuesday, January 22, 2013 at 02:00:00|253.119003295898|Anything In Return|Toro y Moi||Electronic|52|2018-01-07 06:28:11|2016-05-26 04:11:01|2013|
Touch|Tuesday, January 22, 2013 at 02:00:00|158.319000244141|Anything In Return|Toro y Moi||Electronic|57|2018-01-07 09:04:14|2016-05-26 04:11:01|2013|
My Country|Monday, April 18, 2011 at 02:00:00|220.160003662109|Whokill|Tune-Yards|Merrill Garbus & Nate Brenner|Alternative|38|2018-01-07 07:27:45|2016-02-14 09:21:46|2011|
Percussion Gun|Tuesday, April 14, 2009 at 02:00:00|188.305999755859|It's Frightening|White Rabbits|White Rabbits|Alternative|2|2018-01-07 08:47:26|2011-04-19 15:56:51|2009|
À cause des garçons|Monday, October 1, 2007 at 02:00:00|228.106002807617|Pop Up (Bonus Track Version)|Yelle||Electronic|18|2018-01-07 08:00:28|2016-02-14 09:21:44|2007|
